station_a,station_b,minutes,line
Paddington,Edgware Road(Bakerloo),11,Bakerloo,B1
Edgware Road(Bakerloo),Paddington,11,Bakerloo,B1R
Edgware Road(Bakerloo),Marylebone,7,Bakerloo,B2
Marylebone,Edgware Road(Bakerloo),7,Bakerloo,B2R
Marylebone,Baker Street,6,Bakerloo,B3
Baker Street,Marylebone,6,Bakerloo,B3R
Baker Street,Regent's Park,10,Bakerloo,B4
Regent's Park,Baker Street,10,Bakerloo,B4R
Regent's Park,Oxford Circus,15,Bakerloo,B5
Oxford Circus,Regent's Park,15,Bakerloo,B5R
Oxford Circus,Piccadilly Circus,12,Bakerloo,B6
Piccadilly Circus,Oxford Circus,12,Bakerloo,B6R
Piccadilly Circus,Charing Cross,11,Bakerloo,B7
Charing Cross,Piccadilly Circus,11,Bakerloo,B7R
Charing Cross,Embankment,3,Bakerloo,B8
Embankment,Charing Cross,3,Bakerloo,B8R
Embankment,Waterloo,6,Bakerloo,B9
Waterloo,Embankment,6,Bakerloo,B9R
Waterloo,Lambeth North,9,Bakerloo,B10
Lambeth North,Waterloo,9,Bakerloo,B10R
Lambeth North,Elephant & Castle,18,Bakerloo,B11
Elephant & Castle,Lambeth North,18,Bakerloo,B11R
Notting Hill Gate,Queensway,8,Central,CE1
Queensway,Notting Hill Gate,8,Central,CE1R
Queensway,Lancaster Gate,10,Central,CE2
Lancaster Gate,Queensway,10,Central,CE2R
Lancaster Gate,Marble Arch,15,Central,CE3
Marble Arch,Lancaster Gate,15,Central,CE3R
Marble Arch,Bond Street,7,Central,CE4
Bond Street,Marble Arch,7,Central,CE4R
Bond Street,Oxford Circus,7,Central,CE5
Oxford Circus,Bond Street,7,Central,CE5R
Oxford Circus,Tottenham Court Road,9,Central,CE6
Tottenham Court Road,Oxford Circus,9,Central,CE6R
Tottenham Court Road,Holborn,10,Central,CE7
Holborn,Tottenham Court Road,10,Central,CE7R
Holborn,Chancery Lane,10,Central,CE8
Chancery Lane,Holborn,10,Central,CE8R
Chancery Lane,St. Paul's,14,Central,CE9
St. Paul's,Chancery Lane,14,Central,CE9R
St. Paul's,Bank,9,Central,CE10
Bank,St. Paul's,9,Central,CE10R
Bank,Liverpool Street,10,Central,CE11
Liverpool Street,Bank,10,Central,CE11R
Baker Street,Bond Street,16,Jubilee,J1
Bond Street,Baker Street,16,Jubilee,J1R
Bond Street,Green Park,14,Jubilee,J2
Green Park,Bond Street,14,Jubilee,J2R
